ibgecode,mun,uf,div_regiao,distcap,ideb_2005,ideb_2007,ideb_2009,ideb_2011,mtm_2005,mtm_2007,mtm_2009,mtm_2011,lp_2005,lp_2007,lp_2009,lp_2011,pop_2005,Dpibpc_0005,pibpc_2005,pibpc_2007,pibpc_2009,pibpc_2011,idh_2000
2401453,85,RN,1,278,2.4,2.2,4.2,3.8,146,144.37,199.14,179.59,130.8,129.16,175.58,170.72,21084,7.462581673,1.049207865,1.210458074,0.949013725,1.338019604,0.414
2401602,113,RN,0,69,2.5,2.7,3.2,3.3,144.6,167.57,169.01,172.03,146.4,152.46,151.62,152.77,4863,2.688848661,0.832429291,1.311201267,1.258288358,1.236805964,0.371
2401651,124,RN,0,135,2.1,3.3,3.8,4,160,175.3,182.1,181.6,143.6,142.69,160.34,179.17,2775,-0.486759919,0.689671815,0.949762031,1.007232339,1.05573558,0.417
2401701,128,RN,0,46,2.1,2.7,2.6,3.3,186.4,167.13,168.13,175.42,158.2,146.69,148.29,163.88,9492,0.294251089,1.079992831,1.081918819,1.092408163,1.119112683,0.425
2401800,138,RN,0,47,2.1,3,3.2,3.4,155.4,164.69,177.55,178.06,144.6,147.29,161.73,159.94,11748,5.84092159,1.629289344,1.742192326,1.798723898,1.961887477,0.434
2401859,161,RN,0,124,2.9,2.4,2.3,3.2,175.8,165.91,181.87,173.58,151.4,143.3,159.42,153.09,5890,8.401732306,0.950662532,1.0595661,0.909312415,1.27721519,0.424
2402006,163,RN,0,222,2.9,3.3,3.7,4.1,165.6,160.07,176.25,189.22,154.2,143.79,156.63,175.03,60988,0.206879784,9.205022218,10.47775849,11.17993311,12.27393617,0.613
2402105,183,RN,0,119,2.8,2.9,3.4,3.5,164.8,157.29,169.71,166.93,151.2,138.42,153.65,154.82,9108,3.270079316,0.764041773,1.085679246,1.196089921,1.122310057,0.479
2402204,187,RN,0,65,2.5,3,4,3.3,161,173.98,183.62,172.65,152.4,156.97,170.01,164.19,29575,0.875280754,2.335759782,2.666935827,2.885514502,2.793147256,0.418
2402303,197,RN,1,260,2.5,3.1,3.5,4,155.4,175.57,170.97,182.44,152.4,154.04,148.31,165.22,17909,9.291612056,5.482469809,6.163571366,6.237823534,6.921606293,0.46
2402402,205,RN,0,175,3.2,3.8,4.5,5,168.8,177.61,213.91,210.07,158.4,153.89,187.14,186.67,7184,0.042830662,1.554740646,1.729257642,1.829229904,2.064760398,0.59
2402501,206,RN,0,187,2.8,3,3.2,3.4,154.2,165.74,178.92,185.49,147.4,155.38,165.82,173.86,8600,-4.677809636,2.343064042,2.504600586,1.77461751,2.523419204,0.481
